Video ID,Health Professional?,Video Duration (s),Agreement,[Anthony] - Sood et al. Scale,[Elia/Final] - Sood et al. Scale,[Enoch] - Sood et al. Scale,[A] - PEMAT 1: Makes its purpose completely evident?,[E] - PEMAT 1: Makes its purpose completely evident?,"[A] - PEMAT 3: Uses common, everyday language?","[E] - PEMAT 3: Uses common, everyday language?",[A] - PEMAT 4: Medical terms are used only to familiarize audience with the term,[E] - PEMAT 4: Medical terms are used only to familiarize audience with the term,[A] - PEMAT 5: Uses the active voice?,[E] - PEMAT 5: Uses the active voice?,"[A] - PEMAT 8: Breaks or ""chunks"" information into short sections?","[E] - PEMAT 8: Breaks or ""chunks"" information into short sections?",[A] - PEMAT 9: Sections have informative headers? (ANTHONY),[E] - PEMAT 9: Sections have informative headers? (ENOCH),[A] - PEMAT 10: Presents information in a logical sequence?,[E] - PEMAT 10: Presents information in a logical sequence?,[A] - PEMAT 11: Provides a summary?,[E] - PEMAT 11: Provides a summary?,[A] - PEMAT 12: Uses visual cues to draw attention to key points?,[E] - PEMAT 12: Uses visual cues to draw attention to key points?,[A] - PEMAT 13: Text on the screen is easy to read?,[E] - PEMAT 13: Text on the screen is easy to read?,[A] - PEMAT 14: Allows the user to hear the words clearly?,[E] - PEMAT 14: Allows the user to hear the words clearly? copy,[A] - PEMAT 18: PEMAT 18: Illustrations and photographs are clear and uncluttere,[E] - PEMAT 18: PEMAT 18: Illustrations and photographs are clear and uncluttere,[A] - PEMAT 19: Uses simple tables with short and clear row and column headings?,[E] - PEMAT 19: Uses simple tables with short and clear row and column headings?,[A] - PEMAT 20: Clearly identifies at least one action the user can take?,[E] - PEMAT 20: Clearly identifies at least one action the user can take? copy,[A] - PEMAT 21: Material addresses the user directly when describing actions?,[E] - PEMAT 21: Material addresses the user directly when describing actions? co,"[A] - PEMAT 22: Breaks down any action into manageable, explicit steps?","[E] - PEMAT 22: Breaks down any action into manageable, explicit steps? copy","[A] - PEMAT 25: Explains how to use the charts, graphs, tables, or diagrams to t","[E] - PEMAT 25: Explains how to use the charts, graphs, tables, or diagrams to t",[A] - JAMA 1: Authorship,[E] - JAMA 1: Authorship,[A] - JAMA 2: Attribution,[E] - JAMA 2: Attribution,[A] - JAMA 3: Disclosure,[E] - JAMA 3: Disclosure,[A] - JAMA 4: Currency,[E] - JAMA 4: Currency,[A] - Sood et al. Scale,[E] - Sood et al. Scale,A_UnderstandabilityScoreSum,A_UnderstandabilityScore_Max,Anthony's Understandability Score,E_UnderstandabilityScoreSum,E_UnderstandabilityScore_Max,Enoch's Understandability Score,A_Actionability_ScoreSum,A_Actionability_ScoreMax,Anthony's Actionability Score,E_Actionability_ScoreSum,E_Actionability_ScoreMax,Enoch's Actionability Score,Understandability Score (Average),Actionability Score (Average),A_JAMA_Score,E_JAMA_Score,JAMA_Score,Views,Likes,Shares,Comments,Followers,Videos Uploaded Per Author,Video Creation Date,Days_Since_Upload,Matching result from merge
6963749234210260000,0,44,1,M,M,M,1,1,1,1,0,0,1,1,,,,,1,1,,,,,1,1,1,1,,,,,1,1,1,1,1,1,,,0,0,0,0,0,0,1,1,M,M,6,7,1,6,7,1,3,3,1,3,3,1,1,1,1,1,1,1900000,342300,5508,5169,388200,764,1622158643,51,Matched (3)
6953747852816430000,0,59,0,M,M,P,1,1,1,1,0,0,1,1,,,,,1,1,,,,,1,1,1,1,,,,,0,0,0,0,0,0,,,1,1,0,0,0,1,1,1,M,P,6,7,1,6,7,1,0,3,0,0,3,0,1,0,2,3,3,1200000,372800,1249,1236,665100,481,1598477551,325,Matched (3)
6908474727992540000,0,34,1,U,U,U,1,1,1,1,1,1,1,1,,,,,1,1,,,,,0,0,,,,,,,0,0,0,0,0,0,,,1,1,0,1,0,0,1,1,U,U,5,6,1,5,6,1,0,3,0,0,3,0,1,0,2,3,3,2600000,655900,18200,13500,39300,76,1611735154,172,Matched (3)
6957116702719020000,0,55,1,P,P,P,1,1,1,1,1,1,1,1,,,,,1,1,,,,,1,1,1,1,,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,P,P,7,7,1,7,7,1,0,3,0,0,3,0,1,0,1,1,1,1400000,363100,21100,7935,25700,162,1623102022,40,Matched (3)
6795042007032070000,0,59,1,P,P,P,1,1,1,1,0,0,1,1,,,,,1,1,,,,,1,1,,,,,,,0,1,0,0,0,0,,,0,0,0,0,0,0,1,1,P,P,5,6,1,5,6,1,0,3,0,1,3,0,1,0,1,1,1,9100000,2300000,92900,84600,342600,369,1609264700,200,Matched (3)
6925500004983410000,0,59,0,M,M,P,1,1,1,1,1,1,1,1,,,,,1,1,,,,,1,1,1,1,,,,,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,M,P,7,7,1,7,7,1,0,3,0,0,3,0,1,0,1,1,1,2200000,435700,5312,1544,2000000,383,1610157658,190,Matched (3)
6963285857893630000,0,51,1,U,U,U,1,1,1,1,0,0,1,1,,,,,1,1,,,,,1,1,1,1,,,,,0,0,0,0,0,0,,,0,0,1,1,0,1,1,1,U,U,6,7,1,6,7,1,0,3,0,0,3,0,1,0,2,3,3,1700000,342800,17600,7413,443800,1039,1606693121,230,Matched (3)
6922349592461720000,0,48,1,M,M,M,1,1,1,1,1,1,1,1,,,,,1,1,,,,,1,1,,,,1,,,0,0,0,0,0,0,,,0,0,0,0,0,0,1,1,M,M,6,6,1,7,7,1,0,3,0,0,3,0,1,0,1,1,1,1700000,488200,39300,9437,406400,172,1592711864,392,Matched (3)
6929641459419280000,0,59,1,M,M,M,1,1,1,1,0,0,1,1,,,,,1,1,,,,,1,1,1,1,,,,,1,1,1,1,1,1,,,1,1,0,0,0,0,1,1,M,M,6,7,1,6,7,1,3,3,1,3,3,1,1,1,2,2,2,1600000,407300,9150,2529,2000000,383,1622070273,52,Matched (3)
6950647397009590000,0,57,1,P,P,P,1,1,1,1,1,1,1,1,,,,,1,1,,,,,1,1,1,1,,,,,0,0,0,0,0,0,,,1,1,0,0,0,0,1,1,P,P,7,7,1,7,7,1,0,3,0,0,3,0,1,0,2,2,2,2100000,383700,26500,15800,167000,153,1620931584,65,Matched (3)
6959029589431630000,0,20,1,P,P,P,1,1,1,1,1,1,1,1,,,,,1,1,,,,,1,1,1,1,,,,,0,1,0,0,0,0,,,0,0,0,0,0,0,1,1,P,P,7,7,1,7,7,1,0,3,0,1,3,0,1,0,1,1,1,1400000,355900,28500,5888,2000000,383,1618264204,96,Matched (3)
6919884078120530000,0,9,1,P,P,P,1,1,1,1,1,1,1,1,,,,,1,1,,,,,1,1,,,,,,,0,0,0,0,0,0,,,0,1,0,0,0,0,1,1,P,P,6,6,1,6,6,1,0,3,0,0,3,0,1,0,1,2,2,1700000,516100,16400,7642,2000000,383,1607728398,218,Matched (3)
